"id","make_id","model","year","vin","color","price","city","state","postal","longitude","latitude","description","seller","seller_name","image","image_thumb"
"240","Buick","Century","2003","KL4CJDSB3EB020409","Purple","99943","Des Moines","Iowa","50330","58.4767","-16.1003","Cras mi pede\, malesuada in\, imperdiet et\, commodo vulputate\, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet\, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu\, adipiscing molestie\, hendrerit at\, vulputate vitae\, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.","Lorena97","Kay Trent","https://images.unsplash.com/photo-1506469717960-433cebe3f181?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0","https://images.unsplash.com/photo-1506469717960-433cebe3f181?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=200&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0"
"239","Eagle","Talon","1992","5FRYD4H44GB345161","Maroon","10511","Portland","Oregon","97221","122.0415","-49.0016","Cras pellentesque volutpat dui. Maecenas tristique\, est et tempus semper\, est quam pharetra magna\, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede\, venenatis non\, sodales sed\, tincidunt eu\, felis.","Clinton_Reichel11","Nixie Mobius","https://images.unsplash.com/photo-1489008777659-ad1fc8e07097?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0","https://images.unsplash.com/photo-1489008777659-ad1fc8e07097?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=200&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0"
"238","Honda","Civic","2011","2C3CA6CT5AH695662","Violet","41064","Spokane","Washington","99220","-53.5747","-41.4044","Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices\, libero non mattis pulvinar\, nulla pede ullamcorper augue\, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.","Alexzander20","Raymond Assiter","https://images.unsplash.com/photo-1458188793901-87f9ec7bd399?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0","https://images.unsplash.com/photo-1458188793901-87f9ec7bd399?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=200&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0"
"237","Pontiac","Trans Sport","1991","3VW467AT5DM123388","Orange","56903","Beaufort","South Carolina","29905","28.2479","10.8264","Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam\, sollicitudin vitae\, consectetuer eget\, rutrum at\, lorem. Integer tincidunt ante vel ipsum.","Eileen_Jast43","Kitty Roscrigg","https://images.unsplash.com/photo-1498946168008-9b2e06e76ea0?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0","https://images.unsplash.com/photo-1498946168008-9b2e06e76ea0?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=200&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0"
"236","Chevrolet","Silverado 3500","2006","KMHHT6KD6BU000931","Goldenrod","23505","Wichita","Kansas","67210","68.5227","56.5897","Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum\, felis sed interdum venenatis\, turpis enim blandit mi\, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","Lorna.Baumbach67","Averill Frid","https://images.unsplash.com/photo-1491573510686-b800ae4d955e?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0","https://images.unsplash.com/photo-1491573510686-b800ae4d955e?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=200&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0"
"235","Mazda","626","1988","JN1CV6FE2DM809070","Pink","35743","Saint Petersburg","Florida","33715","160.3686","77.2027","Quisque erat eros\, viverra eget\, congue eget\, semper rutrum\, nulla. Nunc purus. Phasellus in felis.","Kelly65","Silvan MacGorley","https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0","https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=200&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0"
"234","Mazda","Protege","2002","SCBLC37F04C590255","Aquamarine","36946","Trenton","New Jersey","8608","130.3184","-72.6748","Aenean lectus. Pellentesque eget nunc.","Fatima67","Bradley Micallef","https://images.unsplash.com/14/unsplash_5243e9ef164a5_1.JPG?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0","https://images.unsplash.com/14/unsplash_5243e9ef164a5_1.JPG?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=200&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0"
"233","Buick","Skylark","1994","1GYS4SKJ6FR512956","Violet","53248","Springfield","Massachusetts","1152","61.219","23.7337","Morbi vestibulum\, velit id pretium iaculis\, diam erat fermentum justo\, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.","Mellie.Hilpert25","Joannes Daudray","https://images.unsplash.com/photo-1500073505333-7df7a702e5f0?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0","https://images.unsplash.com/photo-1500073505333-7df7a702e5f0?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=200&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0"
"232","Nissan","Pathfinder","2006","WAUHE78P48A048294","Khaki","9470","Vancouver","Washington","98664","106.9566","4.867","Vivamus metus arcu\, adipiscing molestie\, hendrerit at\, vulputate vitae\, nisl. Aenean lectus. Pellentesque eget nunc.","Cameron20","Clerkclaude Pocklington","https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0","https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=200&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0"
"231","BMW","8 Series","1994","JM1DE1HY2B0664614","Crimson","69831","Phoenix","Arizona","85099","-84.0902","-66.2825","Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero\, convallis eget\, eleifend luctus\, ultricies eu\, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo\, sollicitudin ut\, suscipit a\, feugiat et\, eros.","Abigayle.Wilkinson36","Kipp Sandilands","https://images.unsplash.com/photo-1504215680853-026ed2a45def?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0","https://images.unsplash.com/photo-1504215680853-026ed2a45def?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=200&fit=max&ixid=eyJhcHBfaWQiOjEzMjA3NH0"
